chord_type,path,sampling_rate,inversion,root_note_pitch_class,root_note_name,midi_program_num,midi_program_name,root_note_is_accidental,midi_category,name,fold,set_type
major,C_major_5_0_Acoustic_Grand_Piano.wav,44100,5,0,C,0,Acoustic Grand Piano,0,Piano Timbres,C_major_5_0_Acoustic_Grand_Piano,12,train
major,C_major_5_1_Bright_Acoustic_Piano.wav,44100,5,0,C,1,Bright Acoustic Piano,0,Piano Timbres,C_major_5_1_Bright_Acoustic_Piano,11,train
major,C_major_5_2_Electric_Grand_Piano.wav,44100,5,0,C,2,Electric Grand Piano,0,Piano Timbres,C_major_5_2_Electric_Grand_Piano,10,train
major,C_major_5_3_Honky-tonk_Piano.wav,44100,5,0,C,3,Honky-tonk Piano,0,Piano Timbres,C_major_5_3_Honky-tonk_Piano,3,train
major,C_major_5_4_Rhodes_Piano.wav,44100,5,0,C,4,Rhodes Piano,0,Piano Timbres,C_major_5_4_Rhodes_Piano,3,train
major,C_major_5_5_Chorused_Piano.wav,44100,5,0,C,5,Chorused Piano,0,Piano Timbres,C_major_5_5_Chorused_Piano,9,train
major,C_major_5_6_Harpsichord.wav,44100,5,0,C,6,Harpsichord,0,Piano Timbres,C_major_5_6_Harpsichord,18,test
major,C_major_5_7_Clavinet.wav,44100,5,0,C,7,Clavinet,0,Piano Timbres,C_major_5_7_Clavinet,16,valid
major,C_major_5_10_Music_Box.wav,44100,5,0,C,10,Music Box,0,Chromatic Percussion,C_major_5_10_Music_Box,7,train
major,C_major_5_11_Vibraphone.wav,44100,5,0,C,11,Vibraphone,0,Chromatic Percussion,C_major_5_11_Vibraphone,5,train
major,C_major_5_12_Marimba.wav,44100,5,0,C,12,Marimba,0,Chromatic Percussion,C_major_5_12_Marimba,18,test
major,C_major_5_13_Xylophone.wav,44100,5,0,C,13,Xylophone,0,Chromatic Percussion,C_major_5_13_Xylophone,20,test
major,C_major_5_15_Dulcimer.wav,44100,5,0,C,15,Dulcimer,0,Chromatic Percussion,C_major_5_15_Dulcimer,14,train
major,C_major_5_16_Hammond_Organ.wav,44100,5,0,C,16,Hammond Organ,0,Organ Timbres,C_major_5_16_Hammond_Organ,3,train
major,C_major_5_17_Percussive_Organ.wav,44100,5,0,C,17,Percussive Organ,0,Organ Timbres,C_major_5_17_Percussive_Organ,7,train
major,C_major_5_18_Rock_Organ.wav,44100,5,0,C,18,Rock Organ,0,Organ Timbres,C_major_5_18_Rock_Organ,5,train
major,C_major_5_19_Church_Organ.wav,44100,5,0,C,19,Church Organ,0,Organ Timbres,C_major_5_19_Church_Organ,11,train
major,C_major_5_20_Reed_Organ.wav,44100,5,0,C,20,Reed Organ,0,Organ Timbres,C_major_5_20_Reed_Organ,17,valid
major,C_major_5_24_Acoustic_Nylon_Guitar.wav,44100,5,0,C,24,Acoustic Nylon Guitar,0,Guitar Timbres,C_major_5_24_Acoustic_Nylon_Guitar,17,valid
major,C_major_5_25_Acoustic_Steel_Guitar.wav,44100,5,0,C,25,Acoustic Steel Guitar,0,Guitar Timbres,C_major_5_25_Acoustic_Steel_Guitar,20,test
major,C_major_5_26_Electric_Jazz_Guitar.wav,44100,5,0,C,26,Electric Jazz Guitar,0,Guitar Timbres,C_major_5_26_Electric_Jazz_Guitar,19,test
major,C_major_5_27_Electric_Clean_Guitar.wav,44100,5,0,C,27,Electric Clean Guitar,0,Guitar Timbres,C_major_5_27_Electric_Clean_Guitar,1,train
major,C_major_5_28_Electric_Muted_Guitar.wav,44100,5,0,C,28,Electric Muted Guitar,0,Guitar Timbres,C_major_5_28_Electric_Muted_Guitar,12,train
major,C_major_5_29_Overdriven_Guitar.wav,44100,5,0,C,29,Overdriven Guitar,0,Guitar Timbres,C_major_5_29_Overdriven_Guitar,19,test
major,C_major_5_30_Distortion_Guitar.wav,44100,5,0,C,30,Distortion Guitar,0,Guitar Timbres,C_major_5_30_Distortion_Guitar,5,train
major,C_major_5_32_Acoustic_Bass.wav,44100,5,0,C,32,Acoustic Bass,0,Bass Timbres,C_major_5_32_Acoustic_Bass,2,train
major,C_major_5_33_Fingered_Electric_Bass.wav,44100,5,0,C,33,Fingered Electric Bass,0,Bass Timbres,C_major_5_33_Fingered_Electric_Bass,19,test
major,C_major_5_34_Plucked_Electric_Bass.wav,44100,5,0,C,34,Plucked Electric Bass,0,Bass Timbres,C_major_5_34_Plucked_Electric_Bass,11,train
major,C_major_5_35_Fretless_Bass.wav,44100,5,0,C,35,Fretless Bass,0,Bass Timbres,C_major_5_35_Fretless_Bass,10,train
major,C_major_5_36_Slap_Bass_1.wav,44100,5,0,C,36,Slap Bass 1,0,Bass Timbres,C_major_5_36_Slap_Bass_1,15,valid
major,C_major_5_37_Slap_Bass_2.wav,44100,5,0,C,37,Slap Bass 2,0,Bass Timbres,C_major_5_37_Slap_Bass_2,20,test
major,C_major_5_38_Synth_Bass_1.wav,44100,5,0,C,38,Synth Bass 1,0,Bass Timbres,C_major_5_38_Synth_Bass_1,18,test
major,C_major_5_39_Synth_Bass_2.wav,44100,5,0,C,39,Synth Bass 2,0,Bass Timbres,C_major_5_39_Synth_Bass_2,3,train
major,C_major_5_40_Violin.wav,44100,5,0,C,40,Violin,0,String Timbres,C_major_5_40_Violin,18,test
major,C_major_5_41_Viola.wav,44100,5,0,C,41,Viola,0,String Timbres,C_major_5_41_Viola,4,train
major,C_major_5_42_Cello.wav,44100,5,0,C,42,Cello,0,String Timbres,C_major_5_42_Cello,6,train
major,C_major_5_43_Contrabass.wav,44100,5,0,C,43,Contrabass,0,String Timbres,C_major_5_43_Contrabass,10,train
major,C_major_5_44_Tremolo_Strings.wav,44100,5,0,C,44,Tremolo Strings,0,String Timbres,C_major_5_44_Tremolo_Strings,13,train
major,C_major_5_45_Pizzicato_Strings.wav,44100,5,0,C,45,Pizzicato Strings,0,String Timbres,C_major_5_45_Pizzicato_Strings,3,train
major,C_major_5_46_Orchestral_Harp.wav,44100,5,0,C,46,Orchestral Harp,0,String Timbres,C_major_5_46_Orchestral_Harp,12,train
major,C_major_5_48_String_Ensemble_1.wav,44100,5,0,C,48,String Ensemble 1,0,Ensemble Timbres,C_major_5_48_String_Ensemble_1,2,train
