name,inst,key_center,scale_type,is_modemix,orig_prog,sub_prog,inv,bpm,fold,set_type
AcousticGrandPiano-c4-maj-1451_inv0,AcousticGrandPiano,c4,maj,false,maj-1451,maj-1451,0,60,14,train
AcousticGrandPiano-cs4-maj-1451_inv0,AcousticGrandPiano,cs4,maj,false,maj-1451,maj-1451,0,60,13,train
AcousticGrandPiano-d4-maj-1451_inv0,AcousticGrandPiano,d4,maj,false,maj-1451,maj-1451,0,60,1,train
AcousticGrandPiano-ds4-maj-1451_inv0,AcousticGrandPiano,ds4,maj,false,maj-1451,maj-1451,0,60,16,valid
AcousticGrandPiano-e4-maj-1451_inv0,AcousticGrandPiano,e4,maj,false,maj-1451,maj-1451,0,60,16,valid
AcousticGrandPiano-f4-maj-1451_inv0,AcousticGrandPiano,f4,maj,false,maj-1451,maj-1451,0,60,9,train
AcousticGrandPiano-fs4-maj-1451_inv0,AcousticGrandPiano,fs4,maj,false,maj-1451,maj-1451,0,60,1,train
AcousticGrandPiano-g4-maj-1451_inv0,AcousticGrandPiano,g4,maj,false,maj-1451,maj-1451,0,60,20,test
AcousticGrandPiano-gs4-maj-1451_inv0,AcousticGrandPiano,gs4,maj,false,maj-1451,maj-1451,0,60,14,train
AcousticGrandPiano-a4-maj-1451_inv0,AcousticGrandPiano,a4,maj,false,maj-1451,maj-1451,0,60,13,train
AcousticGrandPiano-as4-maj-1451_inv0,AcousticGrandPiano,as4,maj,false,maj-1451,maj-1451,0,60,18,test
AcousticGrandPiano-b4-maj-1451_inv0,AcousticGrandPiano,b4,maj,false,maj-1451,maj-1451,0,60,11,train
AcousticGrandPiano-c4-mm1-1451_inv0,AcousticGrandPiano,c4,maj,true,maj-1451,mm1-1451,0,60,8,train
AcousticGrandPiano-cs4-mm1-1451_inv0,AcousticGrandPiano,cs4,maj,true,maj-1451,mm1-1451,0,60,3,train
AcousticGrandPiano-d4-mm1-1451_inv0,AcousticGrandPiano,d4,maj,true,maj-1451,mm1-1451,0,60,11,train
AcousticGrandPiano-ds4-mm1-1451_inv0,AcousticGrandPiano,ds4,maj,true,maj-1451,mm1-1451,0,60,3,train
AcousticGrandPiano-e4-mm1-1451_inv0,AcousticGrandPiano,e4,maj,true,maj-1451,mm1-1451,0,60,11,train
AcousticGrandPiano-f4-mm1-1451_inv0,AcousticGrandPiano,f4,maj,true,maj-1451,mm1-1451,0,60,19,test
AcousticGrandPiano-fs4-mm1-1451_inv0,AcousticGrandPiano,fs4,maj,true,maj-1451,mm1-1451,0,60,18,test
AcousticGrandPiano-g4-mm1-1451_inv0,AcousticGrandPiano,g4,maj,true,maj-1451,mm1-1451,0,60,16,valid
AcousticGrandPiano-gs4-mm1-1451_inv0,AcousticGrandPiano,gs4,maj,true,maj-1451,mm1-1451,0,60,18,test
AcousticGrandPiano-a4-mm1-1451_inv0,AcousticGrandPiano,a4,maj,true,maj-1451,mm1-1451,0,60,13,train
AcousticGrandPiano-as4-mm1-1451_inv0,AcousticGrandPiano,as4,maj,true,maj-1451,mm1-1451,0,60,14,train
AcousticGrandPiano-b4-mm1-1451_inv0,AcousticGrandPiano,b4,maj,true,maj-1451,mm1-1451,0,60,5,train
AcousticGrandPiano-c4-maj-1465_inv0,AcousticGrandPiano,c4,maj,false,maj-1465,maj-1465,0,60,5,train
AcousticGrandPiano-cs4-maj-1465_inv0,AcousticGrandPiano,cs4,maj,false,maj-1465,maj-1465,0,60,13,train
AcousticGrandPiano-d4-maj-1465_inv0,AcousticGrandPiano,d4,maj,false,maj-1465,maj-1465,0,60,17,valid
AcousticGrandPiano-ds4-maj-1465_inv0,AcousticGrandPiano,ds4,maj,false,maj-1465,maj-1465,0,60,11,train
