name,inst1,inst2,bpm,num_bars,poly,pair,ratio,norm_ratio,offset_lvl,offset_ms,rvb_lvl,rvb_val,poly1,poly2,polydist,label_idx,fold,set_type
Agogo_Woodblock-bpm_60-rvb_0-offms_0-2a3,Agogo,Woodblock,60,1,2a3,Agogo_Woodblock,0.6666666666666666,0.6597938144329896,0,0,0,0,2,3,1,19,11,train
Woodblock_Agogo-bpm_60-rvb_0-offms_0-2a3,Woodblock,Agogo,60,1,2a3,Agogo_Woodblock,0.6666666666666666,0.6597938144329896,0,0,0,0,2,3,1,19,17,valid
Agogo_Woodblock-bpm_60-rvb_0-offms_0-2a5,Agogo,Woodblock,60,1,2a5,Agogo_Woodblock,0.4,0.29690721649484536,0,0,0,0,2,5,3,7,20,test
Woodblock_Agogo-bpm_60-rvb_0-offms_0-2a5,Woodblock,Agogo,60,1,2a5,Agogo_Woodblock,0.4,0.29690721649484536,0,0,0,0,2,5,3,7,11,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-2a7,Agogo,Woodblock,60,1,2a7,Agogo_Woodblock,0.2857142857142857,0.1413843888070692,0,0,0,0,2,7,5,3,7,train
Woodblock_Agogo-bpm_60-rvb_0-offms_0-2a7,Woodblock,Agogo,60,1,2a7,Agogo_Woodblock,0.2857142857142857,0.1413843888070692,0,0,0,0,2,7,5,3,10,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-2a9,Agogo,Woodblock,60,1,2a9,Agogo_Woodblock,0.2222222222222222,0.054982817869415786,0,0,0,0,2,9,7,1,7,train
Woodblock_Agogo-bpm_60-rvb_0-offms_0-2a9,Woodblock,Agogo,60,1,2a9,Agogo_Woodblock,0.2222222222222222,0.054982817869415786,0,0,0,0,2,9,7,1,13,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-2a11,Agogo,Woodblock,60,1,2a11,Agogo_Woodblock,0.18181818181818182,0.0,0,0,0,0,2,11,9,0,18,test
Woodblock_Agogo-bpm_60-rvb_0-offms_0-2a11,Woodblock,Agogo,60,1,2a11,Agogo_Woodblock,0.18181818181818182,0.0,0,0,0,0,2,11,9,0,5,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a4,Agogo,Woodblock,60,1,3a4,Agogo_Woodblock,0.75,0.7731958762886597,0,0,0,0,3,4,1,23,16,valid
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a4,Woodblock,Agogo,60,1,3a4,Agogo_Woodblock,0.75,0.7731958762886597,0,0,0,0,3,4,1,23,1,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a5,Agogo,Woodblock,60,1,3a5,Agogo_Woodblock,0.6,0.5690721649484536,0,0,0,0,3,5,2,16,20,test
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a5,Woodblock,Agogo,60,1,3a5,Agogo_Woodblock,0.6,0.5690721649484536,0,0,0,0,3,5,2,16,4,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a7,Agogo,Woodblock,60,1,3a7,Agogo_Woodblock,0.42857142857142855,0.33578792341678937,0,0,0,0,3,7,4,9,1,train
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a7,Woodblock,Agogo,60,1,3a7,Agogo_Woodblock,0.42857142857142855,0.33578792341678937,0,0,0,0,3,7,4,9,7,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a8,Agogo,Woodblock,60,1,3a8,Agogo_Woodblock,0.375,0.26288659793814434,0,0,0,0,3,8,5,6,20,test
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a8,Woodblock,Agogo,60,1,3a8,Agogo_Woodblock,0.375,0.26288659793814434,0,0,0,0,3,8,5,6,6,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a10,Agogo,Woodblock,60,1,3a10,Agogo_Woodblock,0.3,0.16082474226804122,0,0,0,0,3,10,7,4,12,train
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a10,Woodblock,Agogo,60,1,3a10,Agogo_Woodblock,0.3,0.16082474226804122,0,0,0,0,3,10,7,4,10,train
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a11,Agogo,Woodblock,60,1,3a11,Agogo_Woodblock,0.2727272727272727,0.12371134020618553,0,0,0,0,3,11,8,2,15,valid
Woodblock_Agogo-bpm_60-rvb_0-offms_0-3a11,Woodblock,Agogo,60,1,3a11,Agogo_Woodblock,0.2727272727272727,0.12371134020618553,0,0,0,0,3,11,8,2,18,test
Agogo_Woodblock-bpm_60-rvb_0-offms_0-4a5,Agogo,Woodblock,60,1,4a5,Agogo_Woodblock,0.8,0.8412371134020619,0,0,0,0,4,5,1,25,9,train
